LIBCAF(IMG 1)[TIME]:comm_read Wall-clock time: 0.000006, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000911, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_read Wall-clock time: 0.000009, CPU time: 0.000000
LIBCAF(IMG 5)[TIME]:comm_read Wall-clock time: 0.000018, CPU time: 0.000000
LIBCAF(IMG 5)[TIME]:comm_read Wall-clock time: 0.000004, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000784, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000102, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000060, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000055, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read_strided Wall-clock time: 0.000152, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000057, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000041, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read_strided Wall-clock time: 0.000038, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000028, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read_strided Wall-clock time: 0.000877, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read Wall-clock time: 0.000012, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000133, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read Wall-clock time: 0.000004, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read Wall-clock time: 0.000015, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read Wall-clock time: 0.000015, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read Wall-clock time: 0.000005, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read Wall-clock time: 0.000026, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read Wall-clock time: 0.000005, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read Wall-clock time: 0.000007, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000103, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read Wall-clock time: 0.000012, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read Wall-clock time: 0.000004, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_sync_all Wall-clock time: 0.000003, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_sync_all Wall-clock time: 0.000084, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_sync_all Wall-clock time: 0.000137, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_sync_all Wall-clock time: 0.000101, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_sync_all Wall-clock time: 0.000358, CPU time: 0.000000
LIBCAF(IMG 5)[TIME]:comm_sync_all Wall-clock time: 0.000344, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_sync_all Wall-clock time: 0.000120, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_sync_all Wall-clock time: 0.000376, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_sync_all Wall-clock time: 0.006301, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_sync_all Wall-clock time: 0.006050, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_sync_all Wall-clock time: 0.006402, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_sync_all Wall-clock time: 0.006379, CPU time: 0.010000
LIBCAF(IMG 5)[TIME]:comm_sync_all Wall-clock time: 0.006208, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_sync_all Wall-clock time: 0.006225, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_sync_all Wall-clock time: 0.006213, CPU time: 0.010000
LIBCAF(IMG 8)[TIME]:comm_sync_all Wall-clock time: 0.000021, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000086, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_read_strided Wall-clock time: 0.000129, CPU time: 0.000000
LIBCAF(IMG 5)[TIME]:comm_read_strided Wall-clock time: 0.000108, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_read_strided Wall-clock time: 0.000150, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000072, CPU time: 0.000000
